tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,,,
120N04729,NJ-3,EASTBOUND,NJ-495,NJ,HUDSON,7047,40.7816792,-74.0470248,40.775309,-74.044214,0.480255,39,America/New_York,P1.3,USA,,,
120-13767,NJ-3,EASTBOUND,US-9/US-1/TONNELLE AVE,NJ,HUDSON,7047,40.775309,-74.044214,40.7741894,-74.0428328,0.105961,40,America/New_York,P1.11,USA,,,
120N13767,NJ-3,EASTBOUND,US-9/US-1/TONNELLE AVE,NJ,HUDSON,7047,40.7741894,-74.0428328,40.773025,-74.042199,0.089606,41,America/New_York,P1.11,USA,,,
120+07449,NJ-3,WESTBOUND,VALLEY RD,NJ,PASSAIC,7013,40.8653,-74.182,40.871,-74.1894,0.57029,38,America/New_York,P1.11,USA,,,
120P07448,NJ-3,WESTBOUND,GROVE ST,NJ,PASSAIC,7013,40.8634,-74.181,40.8653,-74.182,0.139591,37,America/New_York,P1.11,USA,,,
120+07448,NJ-3,WESTBOUND,GROVE ST,NJ,PASSAIC,7013,40.8573,-74.1794,40.8634,-74.181,0.434495,36,America/New_York,P1.11,USA,,,
120P07447,NJ-3,WESTBOUND,BROAD ST,NJ,PASSAIC,7013,40.8556,-74.1782,40.8573,-74.1794,0.136118,35,America/New_York,P1.11,USA,,,
120+07447,NJ-3,WESTBOUND,BROAD ST,NJ,PASSAIC,7013,40.8553,-74.1779,40.8556,-74.1782,0.024297,34,America/New_York,P1.11,USA,,,
120P07446,NJ-3,WESTBOUND,ALLWOOD RD,NJ,PASSAIC,7013,40.8536,-74.1764,40.8553,-74.1779,0.142288,33,America/New_York,P1.11,USA,,,
120+07446,NJ-3,WESTBOUND,ALLWOOD RD,NJ,PASSAIC,7013,40.8535,-74.1763,40.8536,-74.1764,0.005611,32,America/New_York,P1.11,USA,,,
120+07445,NJ-3,WESTBOUND,GARDEN STATE PKWY,NJ,PASSAIC,7012,40.8405,-74.161,40.85,-74.173,0.92112,31,America/New_York,P1.11,USA,,,
120P07444,NJ-3,WESTBOUND,BLOOMFIELD AVE,NJ,PASSAIC,7012,40.8395,-74.159,40.8405,-74.161,0.121049,30,America/New_York,P1.11,USA,,,
120+07444,NJ-3,WESTBOUND,BLOOMFIELD AVE,NJ,PASSAIC,7012,40.8344,-74.1482,40.8395,-74.159,0.670043,29,America/New_York,P1.11,USA,,,
120P07443,NJ-3,WESTBOUND,NJ-7/PASSAIC AVE,NJ,PASSAIC,7014,40.8336,-74.1465,40.8344,-74.1482,0.100841,28,America/New_York,P1.11,USA,,,
120+07443,NJ-3,WESTBOUND,NJ-7/PASSAIC AVE,NJ,PASSAIC,7014,40.8314,-74.1417,40.8336,-74.1465,0.297769,27,America/New_York,P1.11,USA,,,
120P07442,NJ-3,WESTBOUND,MAIN AVE,NJ,PASSAIC,7014,40.8307,-74.1402,40.8314,-74.1417,0.090041,26,America/New_York,P1.11,USA,,,
120+07442,NJ-3,WESTBOUND,MAIN AVE,NJ,PASSAIC,7014,40.8266,-74.1314,40.8307,-74.1402,0.540096,25,America/New_York,P1.11,USA,,,
120P04740,NJ-3,WESTBOUND,NJ-21 (CLIFTON) (EAST),NJ,PASSAIC,7014,40.8255,-74.1289,40.8266,-74.1314,0.151087,24,America/New_York,P1.11,USA,,,
120+04740,NJ-3,WESTBOUND,NJ-21 (CLIFTON) (EAST),NJ,PASSAIC,7014,40.8229,-74.1236,40.8255,-74.1289,0.335239,23,America/New_York,P1.11,USA,,,
120P04739,NJ-3,WESTBOUND,RIVERSIDE AVE,NJ,BERGEN,7070,40.8205,-74.1196,40.8229,-74.1236,0.26714,22,America/New_York,P1.11,USA,,,
120+04739,NJ-3,WESTBOUND,RIVERSIDE AVE,NJ,BERGEN,7070,40.8184,-74.1163,40.8205,-74.1196,0.22179,21,America/New_York,P1.11,USA,,,
120P04738,NJ-3,WESTBOUND,RIDGE RD,NJ,BERGEN,7070,40.8151,-74.1104,40.8184,-74.1163,0.381707,20,America/New_York,P1.11,USA,,,
120+04738,NJ-3,WESTBOUND,RIDGE RD,NJ,BERGEN,7070,40.8131,-74.1059,40.8151,-74.1104,0.280115,19,America/New_York,P1.11,USA,,,
120P04737,NJ-3,WESTBOUND,NJ-17,NJ,BERGEN,7070,40.8105,-74.0975,40.8131,-74.1059,0.482554,18,America/New_York,P1.11,USA,,,
120+04737,NJ-3,WESTBOUND,NJ-17,NJ,BERGEN,7073,40.8108,-74.0853,40.8105,-74.0975,0.644361,17,America/New_York,P1.11,USA,,,
120P04736,NJ-3,WESTBOUND,NEW JERSEY TPKE,NJ,BERGEN,7073,40.8105,-74.0841,40.8108,-74.0853,0.062811,16,America/New_York,P1.11,USA,,,
120+04736,NJ-3,WESTBOUND,NEW JERSEY TPKE,NJ,BERGEN,7073,40.8103,-74.0835,40.8105,-74.0841,0.036315,15,America/New_York,P1.11,USA,,,
120P04735,NJ-3,WESTBOUND,NEW JERSEY TPKE W SPUR,NJ,BERGEN,7073,40.8084,-74.0792,40.8105,-74.0841,0.297825,14,America/New_York,P1.11,USA,,,
120+04735,NJ-3,WESTBOUND,NEW JERSEY TPKE W SPUR,NJ,BERGEN,7073,40.806,-74.0744,40.8084,-74.0792,0.301162,13,America/New_York,P1.11,USA,,,
120P04734,NJ-3,WESTBOUND,NJ-120,NJ,BERGEN,7073,40.804,-74.0715,40.806,-74.0744,0.207492,12,America/New_York,P1.11,USA,,,
120+04734,NJ-3,WESTBOUND,NJ-120,NJ,BERGEN,7073,40.7987,-74.0643,40.804,-74.0715,0.52238,11,America/New_York,P1.11,USA,,,
120P04733,NJ-3,WESTBOUND,MEADOWLANDS PKWY,NJ,HUDSON,7094,40.7971,-74.0621,40.7987,-74.0643,0.164068,10,America/New_York,P1.11,USA,,,
120+04733,NJ-3,WESTBOUND,MEADOWLANDS PKWY,NJ,HUDSON,7094,40.7944,-74.0583,40.7971,-74.0621,0.272931,9,America/New_York,P1.11,USA,,,
120P04732,NJ-3,WESTBOUND,PATERSON PLANK RD,NJ,HUDSON,7094,40.7942,-74.0581,40.7944,-74.0583,0.016859,8,America/New_York,P1.11,USA,,,
120+04732,NJ-3,WESTBOUND,PATERSON PLANK RD,NJ,HUDSON,7094,40.7878,-74.0496,40.7942,-74.0581,0.628204,7,America/New_York,P1.11,USA,,,
120P04731,NJ-3,WESTBOUND,I-95/NEW JERSEY TPKE,NJ,HUDSON,7094,40.7876,-74.0495,40.7878,-74.0496,0.011776,6,America/New_York,P1.3,USA,,,
120+04731,NJ-3,WESTBOUND,I-95/NEW JERSEY TPKE,NJ,HUDSON,7094,40.7858,-74.0482,40.7876,-74.0495,0.140287,5,America/New_York,P1.3,USA,,,
120+04730,NJ-3,WESTBOUND,HARMON MEADOW BLVD,NJ,HUDSON,7094,40.7817,-74.0468,40.7858,-74.0482,0.297775,4,America/New_York,P1.11,USA,,,
120P04729,NJ-3,WESTBOUND,NJ-495,NJ,HUDSON,7047,40.7757,-74.0445,40.7817,-74.0468,0.429524,3,America/New_York,P1.3,USA,,,
120+04729,NJ-3,WESTBOUND,NJ-495,NJ,HUDSON,7047,40.7742,-74.0428,40.7757,-74.0445,0.136143,2,America/New_York,P1.3,USA,,,
