tmc,tmc_dn1,tmc_dn2,tmc_dn3,tmc_up1,tmc_up2,tmc_up3,tmc_miles,tmc_dn1,tmc_dn2,tmc_dn3,tmc_up1,tmc_up2,tmc_up3
120+07445,120+07446,120P07446,120+07447,120P07444,120+07444,120P07443,0.92112,0.005611,0.142288,0.024297,0.121049,0.670043,0.100841
120P07444,120+07445,120+07446,120P07446,120+07444,120P07443,120+07443,0.121049,0.92112,0.005611,0.142288,0.670043,0.100841,0.297769
120+07444,120P07444,120+07445,120+07446,120P07443,120+07443,120P07442,0.670043,0.121049,0.92112,0.005611,0.100841,0.297769,0.090041
120P07443,120+07444,120P07444,120+07445,120+07443,120P07442,120+07442,0.100841,0.670043,0.121049,0.92112,0.297769,0.090041,0.540096
120+07443,120P07443,120+07444,120P07444,120P07442,120+07442,120P04740,0.297769,0.100841,0.670043,0.121049,0.090041,0.540096,0.151087
120P07442,120+07443,120P07443,120+07444,120+07442,120P04740,120+04740,0.090041,0.297769,0.100841,0.670043,0.540096,0.151087,0.335239
120+07442,120P07442,120+07443,120P07443,120P04740,120+04740,120P04739,0.540096,0.090041,0.297769,0.100841,0.151087,0.335239,0.26714
120P04740,120+07442,120P07442,120+07443,120+04740,120P04739,120+04739,0.151087,0.540096,0.090041,0.297769,0.335239,0.26714,0.22179
120+04740,120P04740,120+07442,120P07442,120P04739,120+04739,120P04738,0.335239,0.151087,0.540096,0.090041,0.26714,0.22179,0.381707
120P04739,120+04740,120P04740,120+07442,120+04739,120P04738,120+04738,0.26714,0.335239,0.151087,0.540096,0.22179,0.381707,0.280115
120+04739,120P04739,120+04740,120P04740,120P04738,120+04738,120P04737,0.22179,0.26714,0.335239,0.151087,0.381707,0.280115,0.482554
120P04738,120+04739,120P04739,120+04740,120+04738,120P04737,120+04737,0.381707,0.22179,0.26714,0.335239,0.280115,0.482554,0.644361
120+04738,120P04738,120+04739,120P04739,120P04737,120+04737,120P04736,0.280115,0.381707,0.22179,0.26714,0.482554,0.644361,0.062811
120P04737,120+04738,120P04738,120+04739,120+04737,120P04736,120+04736,0.482554,0.280115,0.381707,0.22179,0.644361,0.062811,0.036315
120+04737,120P04737,120+04738,120P04738,120P04736,120+04736,120P04735,0.644361,0.482554,0.280115,0.381707,0.062811,0.036315,0.297825
120P04736,120+04737,120P04737,120+04738,120+04736,120P04735,120+04735,0.062811,0.644361,0.482554,0.280115,0.036315,0.297825,0.301162
120+04736,120P04736,120+04737,120P04737,120P04735,120+04735,120P04734,0.036315,0.062811,0.644361,0.482554,0.297825,0.301162,0.207492
120P04735,120+04736,120P04736,120+04737,120+04735,120P04734,120+04734,0.297825,0.036315,0.062811,0.644361,0.301162,0.207492,0.52238
120+04735,120P04735,120+04736,120P04736,120P04734,120+04734,120P04733,0.301162,0.297825,0.036315,0.062811,0.207492,0.52238,0.164068
120P04734,120+04735,120P04735,120+04736,120+04734,120P04733,120+04733,0.207492,0.301162,0.297825,0.036315,0.52238,0.164068,0.272931
120+04734,120P04734,120+04735,120P04735,120P04733,120+04733,120P04732,0.52238,0.207492,0.301162,0.297825,0.164068,0.272931,0.016859
120P04733,120+04734,120P04734,120+04735,120+04733,120P04732,120+04732,0.164068,0.52238,0.207492,0.301162,0.272931,0.016859,0.628204
120+04733,120P04733,120+04734,120P04734,120P04732,120+04732,120P04731,0.272931,0.164068,0.52238,0.207492,0.016859,0.628204,0.011776
120P04732,120+04733,120P04733,120+04734,120+04732,120P04731,120+04731,0.016859,0.272931,0.164068,0.52238,0.628204,0.011776,0.140287
120+04732,120P04732,120+04733,120P04733,120P04731,120+04731,120+04730,0.628204,0.016859,0.272931,0.164068,0.011776,0.140287,0.297775
120P04731,120+04732,120P04732,120+04733,120+04731,120+04730,120P04729,0.011776,0.628204,0.016859,0.272931,0.140287,0.297775,0.429524
120+04731,120P04731,120+04732,120P04732,120+04730,120P04729,120+04729,0.140287,0.011776,0.628204,0.016859,0.297775,0.429524,0.136143
120+04730,120+04731,120P04731,120+04732,120P04729,120+04729,120P13767,0.297775,0.140287,0.011776,0.628204,0.429524,0.136143,0.130332
120P04729,120+04730,120+04731,120P04731,120+04729,120P13767,120P13767,0.429524,0.297775,0.140287,0.011776,0.136143,0.130332,0.130332
120+04729,120P04729,120+04730,120+04731,120P13767,120P13767,120P13767,0.136143,0.429524,0.297775,0.140287,0.130332,0.130332,0.130332
120P13767,120+04729,120P04729,120+04730,120P13767,120P13767,120P13767,0.130332,0.136143,0.429524,0.297775,0.130332,0.130332,0.130332
